MonitoringRef_ZDE;reflex_lda_id;reflex_lda_nom;reflex_zdl_id;reflex_zdl_nom;reflex_zde_id;reflex_zde_nom;gtfs_stop_id;Lineref;codifligne_line_id;codifligne_line_externalcode;codifligne_network_name;dispo_ivtr;xy;codifligne_line_name;date_dispo;reflex_zder_x;reflex_zder_y
STIF:StopPoint:Q:41233:;64145;Villepreux - Les Clayes;43221;Villepreux - Les Clayes;41233;Gare de Villepreux les Clayes;StopPoint:8739341:800:N;STIF:Line::C01736:;C01736;800:N;Transilien;1;48.8237202342,1.9926864294;N;2017-06-15;626045;6858656
STIF:StopPoint:Q:41236:;64175;Orgerus - Béhoust;47921;Orgerus - Béhoust;41236;Orgerus Béhoust;StopPoint:8739344:800:N;STIF:Line::C01736:;C01736;800:N;Transilien;1;48.8265800168,1.70322193471;N;2017-06-15;604800;6859284
STIF:StopPoint:Q:41237:;64194;Tacoignières - Richebourg;47959;Tacoignières - Richebourg;41237;Gare de Tacoignières Richebourg;StopPoint:8739345:800:N;STIF:Line::C01736:;C01736;800:N;Transilien;1;48.8294036681,1.66877927276;N;2017-06-15;602277;6859640
STIF:StopPoint:Q:41206:;70505;Clamart;43111;Clamart;41206;Gare de Clamart;StopPoint:8739156:800:N;STIF:Line::C01736:;C01736;800:N;Transilien;1;48.8142040072,2.2743531088;N;2017-06-15;646714;6857371
STIF:StopPoint:Q:41205:;70584;Vanves - Malakoff;43214;Vanves - Malakoff;41205;Gare de Vanves - Malakoff;StopPoint:8739153:800:N;STIF:Line::C01736:;C01736;800:N;Transilien;1;48.8183117772,2.29194669561;N;2017-06-15;648010;6857816
STIF:StopPoint:Q:41203:;71139;Gare Montparnasse;43238;Gare Montparnasse;41203;Gare Montparnasse;StopPoint:8739100:800:N;STIF:Line::C01736:;C01736;800:N;Transilien;1;48.8392121497,2.31805407877;N;2017-06-15;649947;6860123
STIF:StopPoint:Q:411491:;411493;Dreux;411492;Dreux;411491;Gare de Dreux;StopPoint:8739348:800:N;STIF:Line::C01736:;C01736;800:N;Transilien;1;48.7312217419,1.37064540192;N;2017-06-15;580169;6849136
STIF:StopPoint:Q:41223:;63426;La Verrière;43147;La Verrière;41223;Gare de la Verrière;StopPoint:8739325:800:N;STIF:Line::C01736:;C01736;800:N;Transilien;1;48.755185042,1.9430499444;N;2017-06-15;622299;6851084
STIF:StopPoint:Q:41251:;63812;Saint-Quentin en Yvelines - Montigny-le-Bretonneux;461504;Saint-Quentin en Yvelines - Montigny-le-Bretonneux;41251;Gare de Saint-Quentin en Yvelines;StopPoint:8739384:800:N;STIF:Line::C01736:;C01736;800:N;Transilien;1;48.7877407392,2.04501109301;N;2017-06-15;629838;6854608
STIF:StopPoint:Q:41232:;63999;Fontenay-le-Fleury;47884;Fontenay-le-Fleury;41232;Gare de Fontenay-le-Fleury;StopPoint:8739340:800:N;STIF:Line::C01736:;C01736;800:N;Transilien;1;48.8072239831,2.04070542166;N;2017-06-15;629548;6856778
STIF:StopPoint:Q:41246:;64195;Plaisir - Les Clayes;43181;Plaisir - Les Clayes;41246;Gare de Plaisir les Clayes;StopPoint:8739362:800:N;STIF:Line::C01736:;C01736;800:N;Transilien;1;48.8308606788,1.96000246004;N;2017-06-15;623656;6859481
STIF:StopPoint:Q:41158:;64572;Mareil-sur-Mauldre;46884;Mareil-sur-Mauldre;41158;Mareil sur Mauldre;StopPoint:8738171:800:N;STIF:Line::C01736:;C01736;800:N;Transilien;1;48.8930654226,1.87187511696;N;2017-06-15;617286;6866486
STIF:StopPoint:Q:41160:;64945;Nézel - Aulnay;47944;Nézel - Aulnay;41160;Gare de Nézel Aulnay;StopPoint:8738173:800:N;STIF:Line::C01736:;C01736;800:N;Transilien;1;48.9386249499,1.84053912459;N;2017-06-15;615063;6871585
STIF:StopPoint:Q:41225:;63240;Les Essarts-le-Roi;43229;Les Essarts-le-Roi;41225;Les Essarts le Roi;StopPoint:8739328:800:N;STIF:Line::C01736:;C01736;800:N;Transilien;1;48.7216429083,1.88956637735;N;2017-06-15;618315;6847409
STIF:StopPoint:Q:41224:;63369;Coignières;47932;Coignières;41224;Gare de Coignières;StopPoint:8739327:800:N;STIF:Line::C01736:;C01736;800:N;Transilien;1;48.7437480548,1.92142520146;N;2017-06-15;620692;6849834
STIF:StopPoint:Q:41204:;71139;Gare Montparnasse;43238;Gare Montparnasse;41204;Gare Vaugirard;StopPoint:8739110:800:N;STIF:Line::C01736:;C01736;800:N;Transilien;1;48.8369240226,2.31425560895;N;2017-06-15;649666;6859871
STIF:StopPoint:Q:411494:;411496;Marchezais - Broué;411495;Marchezais - Broué;411494;Gare de Marchezais Broue;StopPoint:8739347:800:N;STIF:Line::C01736:;C01736;800:N;Transilien;1;48.7684475256,1.51343382008;N;2017-06-15;590747;6853067
STIF:StopPoint:Q:41253:;424296;Villiers - Neauphle - Pontchartrain;46847;Villiers - Neauphle - Pontchartrain;41253;Gare de Villiers Neauphle Pontchartrain;StopPoint:8739388:800:N;STIF:Line::C01736:;C01736;800:N;Transilien;1;48.8151736515,1.87734653033;N;2017-06-15;617564;6857820
STIF:StopPoint:Q:41250:;463850;Trappes;43209;Trappes;41250;Gare de Trappes;StopPoint:8739383:800:N;STIF:Line::C01736:;C01736;800:N;Transilien;1;48.7749468924,2.00704596897;N;2017-06-15;627031;6853220
STIF:StopPoint:Q:41207:;63880;Versailles Chantiers;43219;Versailles Chantiers;41207;Gare de Versailles Chantiers;StopPoint:8739300:800:N;STIF:Line::C01736:;C01736;800:N;Transilien;1;48.7955709659,2.13548129346;N;2017-06-15;636494;6855402
STIF:StopPoint:Q:41238:;63893;Houdan;47935;Houdan;41238;Gare de Houdan;StopPoint:8739346:800:N;STIF:Line::C01736:;C01736;800:N;Transilien;1;48.7960019745,1.60226442223;N;2017-06-15;597329;6856011
STIF:StopPoint:Q:41254:;63955;Montfort-l'Amaury - Méré;46850;Montfort-l'Amaury - Méré;41254;Gare de Montfort l'Amaury Méré;StopPoint:8739389:800:N;STIF:Line::C01736:;C01736;800:N;Transilien;1;48.8026407822,1.81547192081;N;2017-06-15;613000;6856493
STIF:StopPoint:Q:41159:;64674;Maule;46886;Maule;41159;Maule;StopPoint:8738172:800:N;STIF:Line::C01736:;C01736;800:N;Transilien;1;48.9090769155,1.85696990871;N;2017-06-15;616219;6868282
STIF:StopPoint:Q:41150:;65931;Mantes-la-Jolie;43157;Mantes-la-Jolie;41150;Gare de Mantes la Jolie;StopPoint:8738150:800:N;STIF:Line::C01736:;C01736;800:N;Transilien;1;48.9896960607,1.70330569412;N;2017-06-15;605104;6877420
STIF:StopPoint:Q:41214:;70515;Meudon;43162;Meudon;41214;Gare de Meudon;StopPoint:8739310:800:N;STIF:Line::C01736:;C01736;800:N;Transilien;1;48.8144562817,2.24252330404;N;2017-06-15;644377;6857421
STIF:StopPoint:Q:41221:;63923;Viroflay Rive Gauche;462388;Viroflay Rive Gauche;41221;Gare de Viroflay Rive Gauche;StopPoint:8739321:800:N;STIF:Line::C01736:;C01736;800:N;Transilien;1;48.8007454426,2.17143454926;N;2017-06-15;639141;6855949
STIF:StopPoint:Q:41234:;64199;Plaisir - Grignon;47885;Plaisir - Grignon;41234;Gare de Plaisir Grignon;StopPoint:8739342:800:N;STIF:Line::C01736:;C01736;800:N;Transilien;1;48.8318338324,1.94378460926;N;2017-06-15;622467;6859605
STIF:StopPoint:Q:41231:;64338;Beynes;46857;Beynes;41231;Gare de Beynes;StopPoint:8739336:800:N;STIF:Line::C01736:;C01736;800:N;Transilien;1;48.8600475564,1.87558895183;N;2017-06-15;617506;6862811
STIF:StopPoint:Q:41202:;65326;Épône - Mézières;47882;Épône - Mézières;41202;Gare d'Épône Mézières;StopPoint:8738676:800:N;STIF:Line::C01736:;C01736;800:N;Transilien;1;48.9633049568,1.80864283404;N;2017-06-15;612768;6874364
STIF:StopPoint:Q:41215:;69528;Bellevue;43088;Bellevue;41215;Gare de Bellevue;StopPoint:8739311:800:N;STIF:Line::C01736:;C01736;800:N;Transilien;1;48.8189526034,2.22975085143;N;2017-06-15;643444;6857930
STIF:StopPoint:Q:41235:;64025;Garancières - La Queue;47903;Garancières - La Queue;41235;Gare de Garancières la Queue;StopPoint:8739343:800:N;STIF:Line::C01736:;C01736;800:N;Transilien;1;48.8104726787,1.76457910937;N;2017-06-15;609276;6857421
STIF:StopPoint:Q:41228:;60665;Rambouillet;427870;Rambouillet;41228;Gare de Rambouillet;StopPoint:8739331:800:N;STIF:Line::C01736:;C01736;800:N;Transilien;1;48.6438977402,1.83243723387;N;2017-06-15;613985;6838827
STIF:StopPoint:Q:41216:;463754;Sèvres Rive Gauche;43195;Sèvres Rive Gauche;41216;Gare de Sevres Rive Gauche;StopPoint:8739312:800:N;STIF:Line::C01736:;C01736;800:N;Transilien;1;48.8211205218,2.2146003583;N;2017-06-15;642334;6858182
STIF:StopPoint:Q:41226:;62804;Le Perray;43235;Le Perray;41226;Gare du Perray;StopPoint:8739329:800:N;STIF:Line::C01736:;C01736;800:N;Transilien;1;48.6933830227,1.85659156234;N;2017-06-15;615844;6844302
STIF:StopPoint:Q:41220:;73718;Chaville Rive Gauche;43108;Chaville Rive Gauche;41220;Gare de Chaville Rive Gauche;StopPoint:8739320:800:N;STIF:Line::C01736:;C01736;800:N;Transilien;1;48.8051856565,2.18937818124;N;2017-06-15;640464;6856429
STIF:StopPoint:Q:41222:;73731;Saint-Cyr;46990;Saint-Cyr;41222;Gare de Saint-Cyr l'Ecole;StopPoint:8739322:800:N;STIF:Line::C01736:;C01736;800:N;Transilien;1;48.7987628575,2.07293729183;N;2017-06-15;631904;6855809
